,Player,cluster
0,Jeff Attinella\Jeff-Attinella,1
1,Joe Bendik\Joe-Bendik,1
2,David Bingham\David-Bingham,0
3,Andre Blake\Andre-Blake,0
4,Alex Bono\Alex-Bono,1
5,Evan Bush\Evan-Bush,0
6,Steve Clark\Steve-Clark,0
7,Maxime Crépeau\Maxime-Crepeau,0
8,Cody Cropper\Cody-Cropper,1
9,Mario Daniel Vega\Mario-Daniel-Vega,0
10,Tyler Deric\Tyler-Deric,1
11,Stefan Frei\Stefan-Frei,0
12,Jesse Gonzalez\Jesse-Gonzalez,0
13,Brad Guzan\Brad-Guzan,0
14,Bill Hamid\Bill-Hamid,0
15,Tim Howard\Tim-Howard,0
16,Clint Irwin\Clint-Irwin,1
17,Sean Johnson\Sean-Johnson,0
18,Brad Knighton\Brad-Knighton,1
19,Kenneth Kronholm\Kenneth-Kronholm,0
20,Zac MacMath\Zac-MacMath,1
21,Vito Mannone\Vito-Mannone,0
22,Tim Melia\Tim-Melia,0
23,Tyler Miller\Tyler-Miller,0
24,David Ousted\David-Ousted,1
25,Spencer Richey\Spencer-Richey,0
26,Nick Rimando\Nick-Rimando,0
27,Luis Robles\Luis-Robles,0
28,Eloy Room\Eloy-Room,1
29,Brian Rowe\Brian-Rowe,0
30,Pablo Sisniega\Pablo-Sisniega,1
31,Zack Steffen\Zack-Steffen,1
32,Matt Turner\Matt-Turner,1
33,Przemysław Tytoń\Przemyslaw-Tyton,1
34,Quentin Westberg\Quentin-Westberg,0
35,Joe Willis\Joe-Willis,0
